,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
PSME2,PSME2,0.445724485792709,7.22643493333223,7.45901913579188,1.13319930147002e-07,2.324515538544e-05,non
ID1,ID1,0.45731504876151,6.95055545324585,7.37667790329686,1.3665496905876e-07,2.76370239537287e-05,non
IFITM3,IFITM3,0.864298897804662,3.13878823373978,7.29426608158764,1.64968151090473e-07,3.2765311761617e-05,up
TDRD7,TDRD7,0.552336064070126,5.53672635315461,7.29003086810468,1.66576207159136e-07,3.2765311761617e-05,non
PNPT1,PNPT1,0.543395146853951,6.2846945548445,7.20276759812081,2.03535850681151e-07,3.94942064855494e-05,non
CXCL3,CXCL3,0.68261593823388,5.02817301498605,7.18674369999197,2.11187476459084e-07,4.01903042070074e-05,up
SLC16A3,SLC16A3,0.44275200953553,7.55071659009268,7.18360351433208,2.12721158836449e-07,4.01903042070074e-05,non
COL1A1,COL1A1,-0.621964714389959,4.53024087115831,-7.10712621020404,2.53813916490916e-07,4.73313509986111e-05,down
FAM102A,FAM102A,-0.426249362274964,6.77157675891178,-6.90266964009112,4.08481853976727e-07,7.51973197596387e-05,non
ZNFX1,ZNFX1,0.44406464432799,6.64159478420809,6.84136837564665,4.71606897093736e-07,8.57190308274552e-05,non
KLHL21,KLHL21,-0.511427277025967,5.10147956948272,-6.83561726780819,4.78019349897645e-07,8.57984980647535e-05,non
DANCR,DANCR,-0.584634703329932,4.67955295801531,-6.81980356726477,4.96115111129161e-07,8.79471219839953e-05,non
C8orf4,C8orf4,0.41262934030462,8.72432311384225,6.80061882726857,5.19012096301795e-07,9.08840815950912e-05,non
SUSD2,SUSD2,0.597799007149728,4.49336832087783,6.73107240008322,6.11472160249653e-07,0.00010578468372319,up
PTGS2,PTGS2,0.503881136261263,6.57353143632573,6.6864171163497,6.79561944386587e-07,0.000116164642374369,non
NCOA7,NCOA7,0.413074873194524,6.93267947786797,6.64462521786008,7.50303054049822e-07,0.000126748253565899,non
NEU1,NEU1,-0.462971191945715,5.67782993606324,-6.61508510130438,8.04806529925807e-07,0.000134374615851217,non
ASS1,ASS1,0.501167405606639,5.19491537993512,6.59580085337074,8.42553387726632e-07,0.000139060047061686,non
NPTX1,NPTX1,-0.440404634965877,5.84832641756068,-6.56621255790182,9.04018211279193e-07,0.000147509062451795,non
IFITM2,IFITM2,0.614336608283554,4.66364238079047,6.51768115030332,1.0149221358534e-06,0.000163744572457516,up
