,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
PDK4,PDK4,-2.10035984747782,0.856916672769134,-6.13222151854124,1.20368092507663e-05,0.00110271340579826,down
PBX1,PBX1,-0.622882320056723,4.56205349239577,-6.13155169601251,1.20523569890372e-05,0.00110271340579826,down
DRAM1,DRAM1,0.642675760775553,5.32622805440834,6.12071266291911,1.23068632603471e-05,0.00111882712939449,up
CPA4,CPA4,-0.472027741823999,7.61315969584321,-6.10209458343355,1.27571038480492e-05,0.00115241862799497,non
TUBB3,TUBB3,0.596270764036954,7.70116009216458,6.08545329924716,1.3173982724276e-05,0.00117306814729726,up
ALDH1A3,ALDH1A3,0.421348252812089,10.0314355604189,6.08503255626205,1.31847037886353e-05,0.00117306814729726,non
ADAM8,ADAM8,0.952276811734958,3.75265500126748,6.08317070475578,1.32322547267469e-05,0.00117306814729726,up
STON1,STON1,-1.57913256195973,0.980456470030199,-6.07499063530356,1.34432847404064e-05,0.00118441977222111,down
RHOF,RHOF,0.72843108177109,4.91581207281682,6.04379088660216,1.42807186735709e-05,0.00123403916938724,up
CD109,CD109,-0.433518364339343,8.80909169113576,-6.04072341755169,1.43659192774814e-05,0.00123403916938724,non
SESN3,SESN3,-0.713745642539665,6.47363573080472,-6.04050291901403,1.4372063987431e-05,0.00123403916938724,down
CYP27B1,CYP27B1,1.21091665990851,2.61814077601851,6.04038344643193,1.43753945085536e-05,0.00123403916938724,up
ASS1,ASS1,0.48287113377053,6.71451190773789,6.03811554194442,1.44387683940075e-05,0.00123403916938724,non
SAMHD1,SAMHD1,0.869618620062873,3.79297344962431,6.03174958990032,1.46182078177424e-05,0.00123635595934486,up
IFIH1,IFIH1,0.662921038582977,4.40308731486926,6.03101296737549,1.46391198156857e-05,0.00123635595934486,up
TNF,TNF,1.92526442369278,1.09288162823972,6.02781680893544,1.473021508591e-05,0.00123673152894819,up
ZNF488,ZNF488,-1.24724947418051,1.68831854949486,-6.02448714202892,1.48257400129892e-05,0.00123747243979763,down
MYEOV,MYEOV,1.3185311398046,2.1919699904829,6.00310248253644,1.54547306712428e-05,0.00128247308645726,up
HSD11B1,HSD11B1,0.582570559571827,6.39699047960216,5.97101291450186,1.64508887824148e-05,0.00135724587047056,non
CDC42EP2,CDC42EP2,0.693403919187853,4.63697903816545,5.96793366325874,1.65499101743342e-05,0.00135756820642685,up
EHD1,EHD1,0.568139842887852,6.04888651988651,5.95616722020715,1.69340091909985e-05,0.00138113778961784,non
IDI1,IDI1,0.451280152587048,7.37089733251547,5.94850439717041,1.71891016745709e-05,0.00139397754659745,non
NEURL1B,NEURL1B,0.519668741945848,5.65043227947234,5.91507753896336,1.83492497016291e-05,0.00147965446887769,non
C15orf52,C15orf52,0.471364152146993,6.9422305100116,5.88672841739889,1.93965718257456e-05,0.00155532173971274,non
CYP4F3,CYP4F3,-1.27757702974956,2.16853663691102,-5.88051335354209,1.96343316010898e-05,0.00156559114492936,down
GULP1,GULP1,-0.85547081028879,3.46859601558731,-5.85543643885049,2.06246987881812e-05,0.00163542403224283,down
MUC20,MUC20,-0.682814065980226,6.54085740348924,-5.84404337295254,2.10915791243282e-05,0.00166320502122396,down
VAV3,VAV3,-0.603786445298986,4.86866826811954,-5.83980537693246,2.12680262501645e-05,0.00166790405861867,down
LRMP,LRMP,-0.95353526794784,2.74624674768135,-5.82600357481474,2.18533116065786e-05,0.00170443888830982,down
