,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
SP100,SP100,1.93970301642752,6.9150316517021,10.2483118688694,1.32206927906166e-24,2.57923697533301e-22,up
ISG20,ISG20,1.99514287762531,6.22499471212475,10.212275631005,1.91558993178955e-24,3.68922973786443e-22,up
IFITM3,IFITM3,1.9860905307795,6.06075294165437,10.068873447337,8.27365654342723e-24,1.57325150120714e-21,up
SAMHD1,SAMHD1,2.75602780482601,3.40121175621307,9.81014812304205,1.10133546705577e-22,2.06803267326397e-20,up
TDRD7,TDRD7,2.05722234197909,5.30097402373552,9.79770391339113,1.24530026577423e-22,2.30949390030377e-20,up
APOH,APOH,-2.10811395073167,5.95759302557436,-9.6712354574957,4.3029443091419e-22,7.88278407462557e-20,down
CSF3,CSF3,2.74519375206624,3.34127682122546,9.65761962102813,4.91286259483059e-22,8.89168938548737e-20,up
MYD88,MYD88,1.84238702299764,6.48099766641191,9.5566512449664,1.3054907039143e-21,2.33465254216674e-19,up
MX2,MX2,5.4131155106734,1.43193563883691,9.55040786144004,1.38636142034315e-21,2.45010838310527e-19,up
IRAK2,IRAK2,1.94566837077688,5.5677731832137,9.50965130291873,2.05052861063161e-21,3.5817489289428e-19,up
PLSCR1,PLSCR1,1.81339185427985,6.6963232058402,9.49961915203182,2.25735521838811e-21,3.8977000104168e-19,up
ODF3B,ODF3B,2.03581391513387,5.06902164822633,9.46145048219226,3.25080604892554e-21,5.54927368942721e-19,up
IGFBP1,IGFBP1,1.74591544898844,8.80984969436188,9.45371368880548,3.49962360714008e-21,5.90689278948969e-19,up
PDLIM7,PDLIM7,1.80048445851015,6.71916888154692,9.4420687203512,3.9100596104297e-21,6.52632394087499e-19,up
TMEM132A,TMEM132A,1.73249646309727,8.51717724156109,9.37208441662552,7.59298833592714e-21,1.25342715145382e-18,up
HSH2D,HSH2D,3.11751128145726,2.62835708321212,9.31724964014684,1.27289215571388e-20,2.07841151773195e-18,up
TAP2,TAP2,1.81542396045957,6.15707859849938,9.25912965159788,2.19389302593215e-20,3.54372699307019e-18,up
CD68,CD68,1.81414110626726,6.06685866156522,9.20404096720101,3.66421120627111e-20,5.85572135538347e-18,up
FGG,FGG,-1.80797948458738,6.91128771701958,-9.07514469092065,1.20269650935414e-19,1.90177968037031e-17,down
